"dateTime","url","title","dayChange","weekChange","monthChange","semesterChange","tickerLength","tickerList"
"2022-11-30 16:09:34","https://stockplus.com/m/investing_strategies/topics/9","참치 원양어업","0.08%","-2.51%","2.61%","0.45%",5,"동원수산 (+1.67%),사조산업 (+0.61%),사조오양 (+0.51%),신라교역 (-0.43%),동원산업 (-1.98%)"
"2022-11-30 16:09:36","https://stockplus.com/m/investing_strategies/topics/52","카메라","0.77%","-7.55%","8.64%","3.45%",23,"삼성전기 (+4.83%),LG이노텍 (+3.85%),덕우전자 (+2.80%),액트로 (+2.10%),옵트론텍 (+1.92%),캠시스 (+1.89%),자화전자 (+1.88%),엠씨넥스 (+1.72%),라온피플 (+1.45%),파트론 (+1.39%),엘컴텍 (+1.10%),파워로직스 (+0.96%),유티아이 (+0.40%),드림텍 (+0.31%),퓨런티어 (+0.24%),탑엔지니어링 (+0.18%),지나인제약 (0.00%),재영솔루텍 (-0.17%),동운아나텍 (-0.46%),하이비젼시스템 (-0.55%),아이윈플러스 (-1.04%),나무가 (-3.64%),SBW생명과학 (-4.18%)"
"2022-11-30 16:09:38","https://stockplus.com/m/investing_strategies/topics/145","스마트팩토리 (제조용 로봇)","0.45%","-8.33%","5.00%","-0.53%",23,"포스코 ICT (+9.86%),이삭엔지니어링 (+3.47%),삼성에스디에스 (+2.82%),티라유텍 (+2.39%),현대무벡스 (+1.50%),링크제니시스 (+1.22%),스맥 (+0.54%),TPC (+0.41%),삼익THK (+0.38%),뉴로메카 (+0.33%),신성이엔지 (0.00%),로보스타 (0.00%),에스피시스템스 (-0.23%),휴림로봇 (-0.24%),알에스오토메이션 (-0.38%),에스엠코어 (-0.49%),하이비젼시스템 (-0.55%),유일로보틱스 (-1.10%),코닉오토메이션 (-1.34%),우신시스템 (-1.37%),에스비비테크 (-1.59%),넥스턴바이오 (-2.50%),에스피지 (-2.79%)"
"2022-11-30 16:09:40","https://stockplus.com/m/investing_strategies/topics/149","미디어 - 음원서비스","0.46%","-10.99%","8.93%","3.20%",4,"TJ미디어 (+1.13%),드림어스컴퍼니 (+0.87%),NHN벅스 (+0.49%),지니뮤직 (-0.64%)"
"2022-11-30 16:09:41","https://stockplus.com/m/investing_strategies/topics/150","CCTV","0.26%","-13.37%","5.47%","3.48%",13,"인콘 (+2.82%),아이디스홀딩스 (+1.98%),포커스에이치엔에스 (+1.95%),코위버 (+1.69%),코콤 (+1.08%),앤씨앤 (+0.58%),뉴지랩파마 (+0.22%),에스원 (0.00%),하이트론 (0.00%),아이디스 (-0.40%),한화에어로스페이스 (-1.09%),코맥스 (-2.26%),시티랩스 (-3.46%)"
"2022-11-30 16:09:43","https://stockplus.com/m/investing_strategies/topics/154","자동차 연비개선 - 경량화","0.66%","1.24%","12.43%","1.36%",25,"삼기 (+3.81%),센트랄모텍 (+3.24%),대유플러스 (+2.41%),효성 (+2.14%),알루코 (+2.12%),POSCO홀딩스 (+2.04%),핸즈코퍼레이션 (+1.99%),삼보산업 (+1.85%),삼양사 (+1.29%),성우하이텍 (+1.18%),LX하우시스 (+1.13%),일지테크 (+1.05%),HDC현대EP (+0.97%),한국카본 (+0.85%),코프라 (+0.74%),코오롱플라스틱 (+0.49%),대호에이엘 (+0.31%),삼원강재 (+0.18%),아진산업 (0.00%),롯데케미칼 (-0.81%),엠에스오토텍 (-1.37%),코리아에프티 (-1.55%),코다코 (-2.10%),에코플라스틱 (-2.16%),엔바이오니아 (-3.28%)"
"2022-11-30 16:09:45","https://stockplus.com/m/investing_strategies/topics/169","렌터카·중고차","2.85%","-15.72%","7.85%","4.50%",6,"케이카 (+11.33%),SK렌터카 (+2.03%),롯데렌탈 (+1.22%),SK네트웍스 (+1.20%),레드캡투어 (+0.79%),쏘카 (+0.52%)"
"2022-11-30 16:09:47","https://stockplus.com/m/investing_strategies/topics/174","시스템반도체 (비메모리 반도체)","0.15%","-6.75%","3.75%","-0.49%",38,"고영 (+2.90%),티엘아이 (+2.63%),아이앤씨 (+2.29%),엘디티 (+2.18%),아나패스 (+1.76%),엘비루셈 (+1.53%),하나마이크론 (+0.93%),아이텍 (+0.72%),앤씨앤 (+0.58%),유니퀘스트 (+0.57%),알파홀딩스 (+0.49%),네패스아크 (+0.45%),넥스트칩 (+0.39%),시그네틱스 (+0.39%),텔레칩스 (+0.39%),엘비세미콘 (+0.38%),에이디칩스 (+0.33%),디아이 (+0.31%),오픈엣지테크놀로지 (+0.23%),코아시아 (+0.18%),픽셀플러스 (0.00%),지니틱스 (0.00%),서플러스글로벌 (-0.17%),오디텍 (-0.20%),SFA반도체 (-0.22%),아이에이 (-0.29%),칩스앤미디어 (-0.32%),에이디테크놀로지 (-0.34%),동운아나텍 (-0.46%),다믈멀티미디어 (-0.50%),테크윙 (-0.62%),어보브반도체 (-0.70%),DB하이텍 (-0.78%),LX세미콘 (-1.02%),유니테스트 (-1.53%),네패스 (-1.79%),에프에스티 (-2.42%),두산테스나 (-2.56%)"
"2022-11-30 16:09:48","https://stockplus.com/m/investing_strategies/topics/194","클라우드 컴퓨팅","0.96%","1.70%","11.65%","1.61%",20,"다우데이타 (+10.63%),데이타솔루션 (+4.91%),다우기술 (+3.48%),더존비즈온 (+1.70%),인지소프트 (+1.56%),한글과컴퓨터 (+1.45%),폴라리스오피스 (+0.96%),효성ITX (+0.71%),가비아 (+0.47%),케이아이엔엑스 (+0.19%),파수 (+0.11%),지엔씨에너지 (0.00%),포시에스 (0.00%),웹케시 (0.00%),영림원소프트랩 (0.00%),나무기술 (-0.76%),파이오링크 (-1.15%),안랩 (-1.44%),알서포트 (-1.68%),솔트룩스 (-2.02%)"
"2022-11-30 16:09:50","https://stockplus.com/m/investing_strategies/topics/196","OLED - 장비","-0.34%","-2.40%","8.66%","1.50%",39,"APS홀딩스 (+2.96%),선익시스템 (+2.06%),비아트론 (+1.05%),더코디 (+1.00%),DMS (+0.95%),케이씨텍 (+0.92%),영우디에스피 (+0.70%),아이씨디 (+0.66%),에스에프에이 (+0.63%),동아엘텍 (+0.58%),브이원텍 (+0.46%),주성엔지니어링 (+0.40%),엘오티베큠 (+0.40%),베셀 (+0.32%),탑엔지니어링 (+0.18%),HB테크놀러지 (0.00%),인베니아 (0.00%),한송네오텍 (0.00%),디바이스이엔지 (0.00%),티로보틱스 (0.00%),나래나노텍 (0.00%),AP시스템 (-0.26%),에스티아이 (-0.36%),디에스케이 (-0.37%),필옵틱스 (-0.38%),에프엔에스테크 (-0.47%),코세스 (-0.92%),힘스 (-0.93%),에스엔유 (-0.97%),이오테크닉스 (-1.13%),디아이티 (-1.19%),케이피에스 (-1.25%),티에스이 (-1.42%),예스티 (-1.69%),아바코 (-2.50%),디이엔티 (-2.73%),제이스텍 (-2.90%),HB솔루션 (-3.23%),야스 (-3.40%)"
